Código CCN;Código CNH;Nombre;Comunidad Autónoma;Provincia;Municipio;Dirección;Código Postal;Teléfono;Número de camas instaladas;Tipo de Centro;Dependencia Funcional;Observaciones;Concierto;Acreditación Docente
538000120;380282;HOSPITAL QUIRON SALUD COSTA ADEJE;CANARIAS;SANTA CRUZ DE TENERIFE;Adeje;Urbanizacion San Eugenio S/N;38660;922752626;62;Hospitales Generales;PRIVADOS;;Sin concierto;NO
802000374;20117;HOSPITAL UNIVERSITARIO NUESTRA SEÑORA  DEL PERPETUO SOCORRO;CASTILLA-LA MANCHA;ALBACETE;Albacete;Calle Seminario 4;2006;967597799;169;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
802000130;20030;HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE;CASTILLA-LA MANCHA;ALBACETE;Albacete;Calle Hermanos Falco 37;2006;967597100;505;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
802000515;20158;CENTRO DE ATENCION A LA SALUD MENTAL LA MILAGROSA;CASTILLA-LA MANCHA;ALBACETE;Albacete;Travesia De La Igualdad S/N;2006;967595300;31;Hospitales de salud mental y tratamiento de toxicomanías;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
802000031;20100;HOSPITAL QUIRONSALUD  ALBACETE;CASTILLA-LA MANCHA;ALBACETE;Albacete;Plaza Del Madroño 11;2008;967247100;65;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
802000048;20061;CLINICA SANTA CRISTINA ALBACETE;CASTILLA-LA MANCHA;ALBACETE;Albacete;Calle Perez Galdos 7-9;2003;967223300;42;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
1726000699;260110;CENTRO ASISTENCIAL ALBELDA DE IREGUA;LA RIOJA;LA RIOJA;Albelda de Iregua;Carretera De Soria KM. 8;26120;941279220;140;Hospitales de salud mental y tratamiento de toxicomanías;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
1012002186;120160;SERVICIOS SANITARIOS DEL CENTRO PENITENCIARIO DE CASTELLON II (ALBOCASSER);COMUNIDAD VALENCIANA;CASTELLÓN;Albocàsser;Calle Els Mascarrells S/N;12140;964158500;64;Otros Centros con Internamiento;OTROS CENTROS O ESTABLECIMIENTOS PÚBLICOS DE DEPENDENCIA ESTATAL;;Sin concierto;NO
141000543;410227;HOSPITAL EL TOMILLAR;ANDALUCÍA;SEVILLA;Alcalá de Guadaíra;Carretera Alcala-Dos Hermanas S/N;41500;0;86;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
1328022274;281385;ITA CLINIC BCN, S.L.;MADRID;MADRID;Alcalá de Henares;Calle Fausto Elhuyar 9;28806;0;74;Otros Centros con Internamiento;PRIVADOS;;Sin concierto;NO
1328020932;281371;HOSPITAL HM VALLES;MADRID;MADRID;Alcalá de Henares;Calle Santiago 14;28801;918883262;20;Otros Centros con Internamiento;PRIVADOS;;Concierto parcial;SI
1328000034;280745;HOSPITAL UNIVERSITARIO PRINCIPE DE ASTURIAS;MADRID;MADRID;Alcalá de Henares;Carretera De Meco S/N;28805;918878100;507;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
123002675;230184;HOSPITAL DE ALTA RESOLUCION DE ALCALA LA REAL;ANDALUCÍA;JAÉN;Alcalá la Real;Avenida De Iberoamerica S/N;23680;953599008;28;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
1430000065;300119;CLINICA MEDICO-QUIRURGICA SAN JOSE;REGIÓN DE MURCIA;MURCIA;Alcantarilla;Calle Maestra Lola Meseguer S/N;30820;968800600;139;Otros Centros con Internamiento;PRIVADOS;;Concierto parcial;NO
244000001;440048;HOSPITAL DE ALCAÑIZ;ARAGÓN;TERUEL;Alcañiz;Calle Doctor Repolles 2;44600;978830100;131;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
123000736;230173;HOSPITAL DE ALTA RESOLUCION DE ALCAUDETE;ANDALUCÍA;JAÉN;Alcaudete;Camino Viejo De La Fuensanta 2;23660;953368211;16;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
813000450;130052;HOSPITAL GENERAL LA MANCHA CENTRO;CASTILLA-LA MANCHA;CIUDAD REAL;Alcázar de San Juan;Avenida De La Constitucion 3;13600;926580500;353;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
1328000070;281124;HOSPITAL QUIRONSALUD SUR;MADRID;MADRID;Alcorcón;Calle De Estambul 30;28922;917810682;81;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
1328000066;281071;HOSPITAL UNIVERSITARIO FUNDACION ALCORCON;MADRID;MADRID;Alcorcón;Calle Budapest 1;28922;916219400;400;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
