1003;ARAHAL;CALLE VIRGEN DE LOS DOLORES, S/N;Arahal;NO;NO
1005;MARCHENA;AVENIDA MAESTRO SANTOS RUANO, 8;Marchena;NO;NO
1007;OSUNA;AVENIDA ESTACION FERROCARRIL, S/N;Osuna;NO;NO
1009;PEDRERA;CALLE MANUEL ARANDA, 3;Pedrera;NO;NO
2002;PUENTE GENIL-HERRERA;CARRETERA A-318 - KM. 9 - ENTRE LOS PUEBLOS DE PUENTE GENIL (CÓRDOBA) Y HERRERA (SEVILLA);Puente Genil;NO;NO
2003;ANTEQUERA-SANTA ANA;CARRETERA MA-5406 - ESTACION FERROCARRIL, S/N;Antequera;NO;NO
3001;MENGIBAR-ARTICHUELA;CALLE CAMINO ESTACION FERROCARRIL, S/N;Mengíbar;NO;NO
3100;JAEN;PLAZA DE JAEN POR LA PAZ, 1;Jaén;NO;NO
3208;CUENCA FERNANDO ZOBEL;AVENIDA CERRO DE LA ESTRELLA, S/N - N-320 - CIRCUNVALACION DE CUENCA;Cuenca;NO;NO
3213;REQUENA-UTIEL;AUTOVIA A3 - SALIDA 285;Requena;NO;NO
3216;VALENCIA JOAQUIN SOROLLA;CALLE SAN VICENTE MARTIR, 171;Valencia;NO;NO
3309;VILLENA ALTA VELOCIDAD;PARTIDA DE SAN JUAN, 182;Villena;NO;NO
3410;ELX ALTA VELOCIDAD;CALLE NIEVE, 0;Elche/Elx;NO;NO
4007;GUADALAJARA-YEBES;CARRETERA N-320 SACEDON-CUENCA, KM 268;Guadalajara;NO;NO
4040;ZARAGOZA-DELICIAS;CALLE RIOJA, 33;Zaragoza;SI;NO
4104;CAMP DE TARRAGONA;CALLE MAS L HEREUET, S/N;Tarragona;NO;NO
4307;FIGUERES-VILAFANT;AVINGUDA PUIG GRAU, S/N;Figueres;NO;NO
5000;GRANADA;AVENIDA DE LOS ANDALUCES, S/N;Granada;NO;NO
5013;LOJA-SAN FRANCISCO;PLAZA ESTACION FERROCARRIL, 56;Loja;NO;NO
5019;ANTEQUERA;BARRIADA ESTACION, S/N;Antequera;NO;NO
5102;SAN XOAN;ESTRADA SAN XOAN, S/N;Ferrol;NO;SI
5103;SANTA ICIA;RUA ESTACION FERROCARRIL, 2;Narón;NO;SI
5104;VIRXE DO MAR;RUA PONTE DAS CABRAS, S/N;Narón;NO;SI
5105;PIÑEIROS;RUA CERRALLON DE ARRIBA, S/N;Narón;NO;SI
5106;O PONTO;RUA MARIA SOLIÑA, 13;Narón;NO;SI
5107;XUVIA;CARRETERA DE CASTELA CON TRAVESIA FEVE;Narón;NO;SI
5108;O ALTO DO CASTIÑEIRO;RUA TORRE, S/N;Narón;NO;SI
5109;FERRERIAS;CAMIÑO DO APEADOIRO PRADOS, S/N;Narón;NO;SI
5111;SEDES;CARRETERA AG-64 - ESTACION FERROCARRIL, S/N;Narón;NO;SI
5113;PEDROSO DE NARON;CALLE ALDEA MOSTEIRO, 4;Narón;NO;SI
5115;SAN SADURNIÑO;CARRETERA DP-7603 - LUGAR ORXAS, 7;San Sadurniño;NO;SI
5117;LAMAS;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;San Sadurniño;NO;SI
5119;APALLA;CALLE ESTACION FERROCARRIL S/N;San Sadurniño;NO;SI
5121;MOECHE;CARRETERA CP-4901 - ESTACION FERROCARRIL, S/N;Moeche;NO;SI
5123;LABACENGOS;CARRETERA DP-4902 - ESTACION FERROCARRIL, S/N;Moeche;NO;SI
5125;ENTRAMBARRIAS;CALLE ESTACION FERROCARRIL S/N;Moeche;NO;SI
5127;CERDIDO;CARRETERA AC-110 - ESTACION FERROCARRIL, S/N;Cerdido;NO;SI
5129;A CUQUEIRA;CALLE ESTACION FERROCARRIL S/N;Cerdido;NO;SI
5131;SANTA MARIA DE MERA;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5133;PONTE MERA;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5135;SAN CLODIO;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5137;SENRA;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5139;ORTIGUEIRA;AVENIDA JUAN LUIS PLA MARTINEZ, S/N;Ortigueira;NO;SI
5141;ESPASANTE;CARRETERA AC-862 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5143;LOIBA;CARRETERA CP-6104 - ESTACION FERROCARRIL, S/N;Ortigueira;NO;SI
5145;O BARQUEIRO;CARRETERA ESTACION FERROCARRIL, 6;Mañón;NO;SI
5147;O VICEDO;RUA DEPUTACION - CAMIÑO SACIDO, S/N;Vicedo, O;NO;SI
5149;MOSENDE;CARRETERA A FRADERIA, S/N;Vicedo, O;NO;SI
5151;FOLGUEIRO;CARRETERA LU-862 - ESTACION FERROCARRIL, S/N;Vicedo, O;NO;SI
5153;COVAS DE VIVEIRO;CAMINO ESCOLAR ESTACION FERROCARRIL, S/N;Viveiro;NO;SI
5155;VIVEIRO;AVENIDA XUNQUEIRA ESQUINA RUA VERXELES, S/N;Viveiro;NO;SI
5156;VIVEIRO-APEADERO;CAMIÑO ALTAMIRA, 2;Viveiro;NO;SI
5157;XUANCES;CAMIÑO O CRUZEIRO - ESTACION FERROCARRIL, S/N;Xove;NO;SI
5159;XOVE-POBO;CAMINO APEADERO, S/N;Xove;NO;SI
5161;XOVE;CARRETERA LU-862 - ESTACION FERROCARRIL, S/N;Xove;NO;SI
5163;LAGO;CARRETERA LU-2602 - ESTACION FERROCARRIL, S/N;Xove;NO;SI
5165;BIDUEIROS;CAMINO MONTE GALIS, S/N;Cervo;NO;SI
5167;SAN CIBRAO;CARRETERA LU-P-1510 - ESTACION FERROCARRIL, S/N;Cervo;NO;SI
5169;MADEIRO;CARRETERA LU-P-1510 - ESTACION FERROCARRIL, S/N;Cervo;NO;SI
5171;BURELA;RUA NOSA SEÑORA DO CARME, 10;Burela;NO;SI
5173;CANGAS DE FOZ;CAMINO ALAMPARTE, S/N;Foz;NO;SI
5175;NOIS;CARRETERA N-642 - ESTACION FERROCARRIL, S/N;Foz;NO;SI
5177;FAZOURO;CARRETERA XENERAL FAZOURO, 4;Foz;NO;SI
5179;MARZAN;RUA PENA PARDA, S/N;Foz;NO;SI
5181;FOZ;CARRETERA XERAL PEDREIRA - RUA XOIÑA, S/N;Foz;NO;SI
5183;BARREIROS;CARRETERA REMIOR, S/N;Barreiros;NO;SI
5185;REINANTE;CARRETERA LU-P-0604 - ESTACION FERROCARRIL, S/N;Barreiros;NO;SI
5187;ESTEIRO;CARRETERA LU-P-0610 - ESTACION FERROCARRIL, S/N;Ribadeo;NO;SI
5189;OS CASTROS;CARRETERA LU-P-5208 - ESTACION FERROCARRIL, S/N;Ribadeo;NO;SI
5191;RINLO;CARRETERA LU-141 - ESTACION FERROCARRIL, S/N;Ribadeo;NO;SI
5193;RIBADEO;RUA PACO LANZA, 9;Ribadeo;NO;SI
5197;VEGADEO PUEBLO;CARRETERA CP-52-05 - ESTACION FERROCARRIL, S/N;Vegadeo;NO;SI
5199;VILAVEDELLE;CARRETERA N-640 - ESTACION FERROCARRIL, S/N;Castropol;NO;SI
5203;TREMAÑES-CARREÑO;CAMINO DE LA IGLESIA - ESTACION FERROCARRIL, S/N;Gijón;NO;SI
5204;CENTRO DE TRANSPORTES;CENTRO DE TRANSPORTES DE GIJÓN, APEADERO DEL FERROCARRIL;Gijón;NO;SI
5207;ABOÑO-APEADERO;BARRIO ABOÑO-INDUSTRIA, S/N;Carreño;NO;SI
5208;XIVARES;BARRIO XIVARES 4 - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5209;PERLORA;POLIGONO PERLORA URBANO - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5210;CANDAS-APEADERO;CALLE NUESTRA SEÑORA COVADEONGA, 9;Carreño;NO;SI
5211;CANDAS;AVENIDA JOSE MARIA FERNANDEZ LADRERA, 27;Carreño;NO;SI
5213;REGUERAL;BARRIO REGUERAL, 19 - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5215;ZANZABORNIN;CARRETERA CE-1 - ESTACION FERROCARRIL, S/N;Carreño;NO;SI
5216;GUDIN LAMINACION;CARRETERA AS-19 - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5217;TRASONA;CARRETERA AS-19 - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5218;OFICINAS;AVENIDA DE GJON - ESTACION FERROCARRIL, S/N;Corvera de Asturias;NO;SI
5219;LLARANES;PLAZA ENSIDESA, 29;Avilés;NO;SI
5220;CRISTALERIA;BARRIO LA MARUCA, 110 - ESTACION DE FERROCARRIL, S/N;Avilés;NO;SI
5221;AVILES-APEADERO;CALLE DEL MUELLE, S/N;Avilés;NO;SI
5224;RAICES;CALLE ANTONIO MACHADO, 2 - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5225;SALINAS;CALLE EL ALG?IL, S/N;Castrillón;NO;SI
5227;PIEDRAS BLANCAS;CALLE ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5229;VEGARROZADAS;AVENIDA GALICIA - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5231;SANTIAGO DEL MONTE;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Castrillón;NO;SI
5232;EL PARADOR;CALLE PARADOR, S/N;Soto del Barco;NO;SI
5233;SOTO DEL BARCO;CALLE ESTACION FERROCARRIL, S/N;Soto del Barco;NO;SI
5235;RIBERAS;CARRETERA AS-16 - ESTACION FERROCARRIL, S/N;Soto del Barco;NO;SI
5237;PEÑAULLAN;CALLE ALDEA PEÑAULLAN, 801;Pravia;NO;SI
5239;SANTIANES;CALLE LUGAR SANTIANES, 49;Pravia;NO;SI
5241;LOS CABOS;CARRETERA AS-224 - ESTACION FERROCARRIL, S/N;Pravia;NO;SI
5243;MUROS DE NALON;CALLE DE FRANCISCO CABAL, S/N;Muros de Nalón;NO;SI
5244;EL PITO PIÑERA;CARRETERA N-632 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5245;CUDILLERO;CALLE JUAN ANTONIO BRAVO - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5247;VILLADEMAR;CARRETERA CU-1 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5249;LA MAGDALENA;CARRETERA N-632A - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5251;SAN MARTIN DE LUIÑA;CARRETERA AS-222 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5253;SAN COSME;CARRETERA AS-222 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5255;SOTO DE LUIÑA;CARRETERA CU-7 - ESTACION FERROCARRIL, S/N;Cudillero;NO;SI
5257;VALDREDO;CALLE ESTACION FERROCARRIL S/N;Cudillero;NO;SI
